transaction,address,bedroom,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,date_type,date
rent,"Galleria House, Royal Victoria Dock, E16",1,1, ,"£1,850",£427,"This stunning brand new apartment is situated on the 10th floor of a new development situated moments away from the Elizabeth Line. The chic apartment compromises of 562 SqFt. of internal space, featuring open plan kitchen/living area, two utility cupboards, well proportioned bedroom an...",Apartment,E16,"Madison Brook, Docklands",rightmove,https://www.rightmove.co.uk/properties/134926814#/?channel=RES_LET,Added,2023-05-17
rent,"Compton House, Woolwich Riverside, London, SE18",1,1, ,"£1,995",£460,"ZERO DEPOSIT AVAILABLE. LONG LET. Occupying a desirable setting in the Royal Arsenal, this 1 bedroom apartment boasts urban living with exquisite panoramic views. It presents a chic, open-plan design with a balcony and superb onsite facilities.",Flat,SE18,"Foxtons, Woolwich",rightmove,https://www.rightmove.co.uk/properties/134926469#/?channel=RES_LET,Reduced,2023-05-17
rent,"Argyll Road, Woolwich, London, SE18",2,2, ,"£2,200",£508,"ZERO DEPOSIT AVAILABLE. LONG LET. Situated in the prestigious Royal Arsenal Riverside development, is this excellent 1st floor 2 bedroom apartment benefiting from a bright and modern interior. Boasts a Private Balcony and floor to ceiling windows.",Flat,SE18,"Foxtons, Woolwich",rightmove,https://www.rightmove.co.uk/properties/134926463#/?channel=RES_LET,Added,2023-05-17
rent,"Warehouse Court, Woolwich Riverside, London, SE18",2,2, ,"£2,200",£508,"ZERO DEPOSIT AVAILABLE. LONG LET. This lovely 2 bedroom, 2 bathroom flat has a large private balcony and is situated in popular Royal Arsenal Riverside, moments from Woolwich Elizabeth line station.",Flat,SE18,"Foxtons, Woolwich",rightmove,https://www.rightmove.co.uk/properties/134926460#/?channel=RES_LET,Added,2023-05-17
rent,"No 1 Street, Woolwich, London, SE18",2,2, ,"£2,250",£519,"ZERO DEPOSIT AVAILABLE. LONG LET. Beautiful 2 bedroom flat benefiting from a fantastic red brick feature wall, 2 spacious bedrooms, a private balcony and a large open plan reception room.",Flat,SE18,"Foxtons, Woolwich",rightmove,https://www.rightmove.co.uk/properties/134926457#/?channel=RES_LET,Added,2023-05-17
rent,"Compton House, Woolwich Riverside, London, SE18",1,1, ,"£3,600",£831,"SHORT LET. Occupying a desirable setting in the Royal Arsenal, this 1 bedroom apartment boasts urban living with exquisite panoramic views. It presents a chic, open-plan design with a balcony and superb onsite facilities.",Flat,SE18,"Foxtons, Woolwich",rightmove,https://www.rightmove.co.uk/properties/134926454#/?channel=RES_LET,Added,2023-05-17
rent,"Leghorn Road, Kensal Green, London, NW10",2,1, ,"£2,384",£550,"ZERO DEPOSIT AVAILABLE. LONG LET. Set within a charming period conversion, this simply stunning 2 bedroom 1st floor flat features characterful interiors, wood flooring throughout and a great location close to amenities.",Flat,NW10,"Foxtons, Willesden Green",rightmove,https://www.rightmove.co.uk/properties/134926445#/?channel=RES_LET,Reduced,2023-05-17
rent,"Ridge Road, Child's Hill, London, NW2",4,4, ,"£6,500","£1,500","ZERO DEPOSIT AVAILABLE. LONG LET. An impressive 4 bedroom contemporary house arranged over 3 floors, offering bright and spacious interiors throughout with off-street parking and patio garden.",House,NW2,"Foxtons, West Hampstead",rightmove,https://www.rightmove.co.uk/properties/134926442#/?channel=RES_LET,Added,2023-05-17
rent,"Slough Lane, Kingsbury, London, NW9",6,3, ,"£3,500",£808,"ZERO DEPOSIT AVAILABLE. LONG LET. This gorgeous, newly renovated house boasts 6 double bedrooms, a massive rear garden, drive way for multiple cars, modern fitted kitchen and masses of space throughout.",House,NW9,"Foxtons, Wembley",rightmove,https://www.rightmove.co.uk/properties/134926427#/?channel=RES_LET,Added,2023-05-17
rent,Stapleton Hall Road Stroud Green N4,1,1, ,"£1,600",£369,"GAS and ELECTRIC bills included. An exceptional split level one bedroom, quirky warehouse style flat located close to amenities of Stroud Green and transport links from Finsbury Park.",Apartment,Stapleton Hall Road Stroud Green N4,"Kinleigh Folkard & Hayward - Lettings, Crouch End",rightmove,https://www.rightmove.co.uk/properties/134926421#/?channel=RES_LET,Added,2023-05-17
rent,"High Street, Stratford, London, E15",3,2, ,"£5,500","£1,269","SHORT LET. Set in the luxurious Sky View Tower, a 3 bed apartment encompasses chic finishes and floor to ceiling windows. An open plan interior offers a high spec kitchen and dining space featuring panoramic views of the city.",Flat,E15,"Foxtons, Stratford",rightmove,https://www.rightmove.co.uk/properties/134926388#/?channel=RES_LET,Added,2023-05-17
rent,"High Street, Stratford, London, E15",3,2, ,"£3,200",£738,"LONG LET. Set in the luxurious Sky View Tower, a 3 bed apartment encompasses chic finishes and floor to ceiling windows. An open plan interior offers a high spec kitchen and dining space featuring panoramic views of the city.",Flat,E15,"Foxtons, Stratford",rightmove,https://www.rightmove.co.uk/properties/134926391#/?channel=RES_LET,Reduced,2023-05-17
rent,"Dorman Way, Swiss Cottage, London, NW8",3,1, ,"£3,012",£695,"ZERO DEPOSIT AVAILABLE. LONG LET. A substantial 3 bedroom maisonette set over the 2nd and 3rd floors of this popular block found close to the amenities of Swiss Cottage and St John's Wood, with Primrose Hill and Maida Vale also close by.",Flat,NW8,"Foxtons, St Johns Wood",rightmove,https://www.rightmove.co.uk/properties/134926367#/?channel=RES_LET,Added,2023-05-17
rent,"BUILDING 20, CHATHAM CLOSE, Woolwich, London, SE18",2,2, ,"£2,195",£507,"ZERO DEPOSIT AVAILABLE. LONG LET. This bright 2 bedroom ground floor flat features 2 well proportioned bedroom with 1 en-suite shower room, a spacious open plan reception room and a stylish finish throughout the property.",Flat,SE18,"Foxtons, Woolwich",rightmove,https://www.rightmove.co.uk/properties/134639378#/?channel=RES_LET,Reduced,2023-05-17
rent,"Smith Street, Chelsea, London, SW3",1,1, ,"£3,575",£825,"SHORT LET. Set on the raised ground floor, this stylish 1 bedroom flat offers luxurious accommodation with generous interiors close to Chelsea's King's Road.",Flat,SW3,"Foxtons, Sloane Square",rightmove,https://www.rightmove.co.uk/properties/134926361#/?channel=RES_LET,Added,2023-05-17
rent,"Lily Court, 41 Holden Road, Woodside Park, London, N12",1,1, ,"£1,500",£346,"A bright ground floor apartment situated within a modern block conveniently located close to Woodside Park Station. The property benefits from having wood flooring throughout and comprises a good size reception room with direct access onto a private balcony leading onto communal gardens, modern o...",Apartment,N12,"Stones Residential, Belsize Park",rightmove,https://www.rightmove.co.uk/properties/86655091#/?channel=RES_LET,Added,15/05/2023
rent,"Cricklewood, Cricklewood, London, NW2",2,1, ,"£1,712",£395,"ZERO DEPOSIT AVAILABLE. LONG LET. This is a bright and spacious 2 bedroom flat on the 1st floor, offered with 2 double bedrooms, a smart kitchen and reception room. Boasting neutral interiors presented in excellent condition throughout.",Flat,NW2,"Foxtons, West Hampstead",rightmove,https://www.rightmove.co.uk/properties/134639192#/?channel=RES_LET,Reduced,2023-05-17
rent,"Point Pleasant, Wandsworth, London, SW18",2,2, ,"£2,800",£646,ZERO DEPOSIT AVAILABLE. LONG LET. This well-presented 2 bedroom apartment offers bright and airy accommodation with a fantastic private terrace. It further benefits from easy access to the River Thames and the lush expanse of Wandsworth Park.,Flat,SW18,"Foxtons, Putney",rightmove,https://www.rightmove.co.uk/properties/134926337#/?channel=RES_LET,Added,2023-05-17
rent,"Belvedere Road, Southbank, SE1",2,2, ,"£7,450","£1,719",A luxury two bedroom apartment with spectacular views of the London Eye situated on Southbank's highly desirable riverside location.,Apartment,SE1,"Home-Made UK Properties Limited, London",rightmove,https://www.rightmove.co.uk/properties/133668041#/?channel=RES_LET,Reduced,2023-05-17
rent,"Colville Gardens, Portobello, London, W11",1,1, ,"£1,950",£450,"LONG LET. Boasting a secure gated entrance and well maintained communal gardens, this refurbished 1 bedroom flat boasts a stylish décor with an open-plan kitchen and lovely bedroom.",Flat,W11,"Foxtons, Notting Hill",rightmove,https://www.rightmove.co.uk/properties/134926322#/?channel=RES_LET,Added,2023-05-17
rent,"Cambridge Street, Pimlico, London, SW1V",1,1, ,"£2,167",£500,"LONG LET. Situated within a secure development, this fantastic 1 bedroom apartment offers bright and generous living space and ample storage.",Flat,SW1V,"Foxtons, Pimlico",rightmove,https://www.rightmove.co.uk/properties/134926325#/?channel=RES_LET,Added,2023-05-17
rent,"Alexandra Grove, North Finchley, London, N12",5,3, ,"£11,002","£2,539","SHORT LET. Renovated to an exceptional standard, this impressive 5 bedroom semi-detached house boasts generously proportioned living space, 2 en suite bedrooms and a superb 90' garden.",Semi-Detached,N12,"Foxtons, North Finchley",rightmove,https://www.rightmove.co.uk/properties/134926307#/?channel=RES_LET,Added,2023-05-17
rent,"High Road N12, North Finchley, London, N12",1,1, ,"£3,000",£692,SHORT LET. Located on the Finchley High Road this excellent one bedroom flat is presented to an excellent standard throughout and benefits from bright and spacious living areas and neutral décor.,Flat,N12,"Foxtons, North Finchley",rightmove,https://www.rightmove.co.uk/properties/134926313#/?channel=RES_LET,Added,2023-05-17
rent,"Raynes Park, Raynes Park, London, SW20",2,2, ,"£2,600",£600,"ZERO DEPOSIT AVAILABLE. LONG LET. Located in the heart of Raynes Park, this amazing 2 bedroom 1st floor flat is presented in excellent condition, boasting an open-plan fitted kitchen, large Roof Terrace and access to a Communal Gym.",Flat,SW20,"Foxtons, New Malden",rightmove,https://www.rightmove.co.uk/properties/134926292#/?channel=RES_LET,Added,2023-05-17
rent,"Sloane Avenue, Chelsea, London, SW3",1,1, ,"£2,449",£565,LONG LET. This 1 bedroom flat boasts smart accommodation in a stunning development with a bright reception room and lovely bedroom in a great location.,Flat,SW3,"Foxtons, Sloane Square",rightmove,https://www.rightmove.co.uk/properties/86126661#/?channel=RES_LET,Reduced,2023-05-17
rent,"Boleyn Road, London N16",1,1, ,"£1,650",£381,Spacious ground floor flat with your own private patio. This large 1 bedroom property has an open plan kitchen / living room with lots of natural light. Located just 5 minutes' walk to Dalston Kingsland station.,Flat,London N16,"Elkay Properties, London",rightmove,https://www.rightmove.co.uk/properties/134648519#/?channel=RES_LET,Reduced,2023-05-17
rent,"Carburton Street, Fitzrovia, London, W1W",1,1, ,"£2,384",£550,"LONG LET. This bright and spacious one bedroom, fourth floor flat offers contemporary interiors throughout finished to a high standard and an ideal location.",Flat,W1W,"Foxtons, Marylebone",rightmove,https://www.rightmove.co.uk/properties/134926100#/?channel=RES_LET,Added,2023-05-17
rent,"Cleveland Street, W1T, Fitzrovia, London, W1T",1,1, ,"£3,034",£700,"LONG LET. Fantastically positioned, this 1 bedroom flat benefits from close proximity to stunning Regent's Park and ample facilities. It features an open-plan design, lovely double-height ceilings, and modern finishes.",Flat,W1T,"Foxtons, Marylebone",rightmove,https://www.rightmove.co.uk/properties/134926094#/?channel=RES_LET,Added,2023-05-17
rent,"Cabbell Street, Marylebone, London, NW1",5,2, ,"£6,500","£1,500","LONG LET. Arranged upon the 2nd floor of a beautiful period mansion block, this capacious 4/5 bedroom flat offers generous living space, balcony with neutral decor and a wonderful location close to a wealth of transport links.",Flat,NW1,"Foxtons, Marylebone",rightmove,https://www.rightmove.co.uk/properties/134926088#/?channel=RES_LET,Added,2023-05-17
rent,"Rainsford Street, Paddington, W2",3,, ,"£6,903","£1,593","SHORT LET. Stylish 3 bed apartment with a spacious open plan reception/kitchen complete with modern appliances, well presented shower room and three beautifully proportioned double bedrooms. Moments from Paddington Station.",Detached,W2,"Foxtons, Marylebone",rightmove,https://www.rightmove.co.uk/properties/134926082#/?channel=RES_LET,Added,2023-05-17
rent,"High Road, Willesden, London",1,1, ,"£1,452",£335,"Empire Estates are pleased to present this newly refurbished 1 bedroom flat in the Willesden Green/Dollis Hill area. The property has been newly renovated to a very high standard and is located on the first floor and boasts one double bedroom, living room, fully fitted kitchen and newly refurbish...",Flat,London,"Empire Estates, North West London",rightmove,https://www.rightmove.co.uk/properties/134925917#/?channel=RES_LET,Added,2023-05-17
rent,"Nelson Terrace, Islington, London, N1",5,2, ,"£5,850","£1,350","LONG LET. Perfectly tucked away on a quiet residential street behind City Road, this delightful 5 bedroom house offers neutral décor and modern interiors throughout having been refurbished to a high standard.",Flat,N1,"Foxtons, Islington",rightmove,https://www.rightmove.co.uk/properties/134925890#/?channel=RES_LET,Added,2023-05-17
rent,"Westmoreland Terrace, Pimlico, London, SW1V",,1, ,"£1,625",£375,"LONG LET. A lovely studio flat situated on a quiet residential street in the heart of Pimlico, offering a well proportioned living space, and separate storage space.",Studio,SW1V,"Foxtons, Pimlico",rightmove,https://www.rightmove.co.uk/properties/134478485#/?channel=RES_LET,Reduced,2023-05-17
rent,"Woodside Gardens, London, N17",4,3, ,"£3,000",£692,"This well-presented four-bedroom Victorian family home packed with period features can be found on an attractive terraced street, within a short distance of Bruce Grove Rail Station.",Terraced,N17,"Winkworth, Harringay",rightmove,https://www.rightmove.co.uk/properties/107974637#/?channel=RES_LET,Added,2023-05-17
rent,"College House, Swiss Cottage, London, NW3",1,1, ,"£1,430",£330,"LONG LET. This great studio flat is set on the first floor of the popular College House, offering a great living space throughout and benefits from a lovely modern fitted kitchen.",Flat,NW3,"Foxtons, Hampstead",rightmove,https://www.rightmove.co.uk/properties/134925860#/?channel=RES_LET,Added,2023-05-17
rent,"Arkwright Road, Hampstead, London, NW3",1,1, ,"£1,820",£420,LONG LET. Ideally located close to the amenities of Hampstead High Street and Finchley Road this spacious one bedroom flat is located on the first floor of a fabulous period conversion.,Flat,NW3,"Foxtons, Hampstead",rightmove,https://www.rightmove.co.uk/properties/134925857#/?channel=RES_LET,Added,2023-05-17
rent,"Fellows Road, Belsize Park, London, NW3",2,2, ,"£2,817",£650,"ZERO DEPOSIT AVAILABLE. LONG LET. Situated in Belsize Park, this impressive 2 bedroom first floor flat benefits from bright interiors including 2 well-proportioned double bedrooms (1 with en suite).",Flat,NW3,"Foxtons, Hampstead",rightmove,https://www.rightmove.co.uk/properties/134925854#/?channel=RES_LET,Added,2023-05-17
rent,"Rodmere Street, Greenwich, London, SE10",1,1, ,"£1,900",£438,"ZERO DEPOSIT AVAILABLE. LONG LET. Located in the heart of Greenwich, this beautiful 1 bedroom apartment benefits from a beautifully finished interior and is situated on the 3rd floor of a brand new development.",Flat,SE10,"Foxtons, Greenwich",rightmove,https://www.rightmove.co.uk/properties/134925830#/?channel=RES_LET,Added,2023-05-17
rent,"Denmark Street, Tottenham, N17",3,2, ,"£2,100",£485,A charming newly decorated three double bedroom house located in a desirable residential area with great access into central London. This delightful property offers a spacious living spaces with a large private garden.,Terraced,N17,"Home-Made UK Properties Limited, London",rightmove,https://www.rightmove.co.uk/properties/134925794#/?channel=RES_LET,Added,2023-05-17
rent,"Heathfield Road, Wandsworth, London, SW18",2,1, ,"£1,950",£450,"ZERO DEPOSIT AVAILABLE. LONG LET. This bright and airy 2 bedroom 1st floor flat is presented in very good condition throughout, boasting a neutral décor throughout and an excellent location to Wandsworth and Earlsfield respectively.",Flat,SW18,"Foxtons, Earlsfield",rightmove,https://www.rightmove.co.uk/properties/134925812#/?channel=RES_LET,Reduced,2023-05-17
rent,"Heath Street, Hampstead NW3",2,1, ,"£3,800",£877,A newly refurbished duplex apartment finished to a high standard located in the heart of Hampstead Village. A newly refurbished duplex apartment set on the first and second floor situated within the heart of Hampstead village. This spacious apartment benefits comprehensive refurbishments with...,Flat,Hampstead NW3,"Knight Frank - Lettings, Hampstead",rightmove,https://www.rightmove.co.uk/properties/134381726#/?channel=RES_LET, , 
rent,"St Georges Grove, Tooting, London, SW17",2,2, ,"£2,000",£462,ZERO DEPOSIT AVAILABLE. LONG LET. Bright and well proportioned two bedroom flat offering fantastic accommodation with a generous reception room opening onto a private balcony.,Flat,SW17,"Foxtons, Earlsfield",rightmove,https://www.rightmove.co.uk/properties/134925809#/?channel=RES_LET,Reduced,2023-05-17
rent,"Kingston Road, Raynes Park, London, SW20",1,1, ,"£2,800",£646,"SHORT LET. Featuring a private south-facing balcony, this superb 1 bedroom apartment provides cool and contemporary living space within a secure residential development.",Flat,SW20,"Foxtons, Earlsfield",rightmove,https://www.rightmove.co.uk/properties/134925806#/?channel=RES_LET,Added,2023-05-17
rent,"Heathfield Road, Wandsworth, London, SW18",2,1, ,"£3,000",£692,"SHORT LET. This bright and airy 2 bedroom 1st floor flat is presented in very good condition throughout, boasting a neutral décor throughout and an excellent location to Wandsworth and Earlsfield respectively.",Flat,SW18,"Foxtons, Earlsfield",rightmove,https://www.rightmove.co.uk/properties/134925803#/?channel=RES_LET,Added,2023-05-17
rent,"St Georges Grove, Tooting, London, SW17",2,2, ,"£3,200",£738,SHORT LET. Bright and well proportioned two bedroom flat offering fantastic accommodation with a generous reception room opening onto a private balcony.,Flat,SW17,"Foxtons, Earlsfield",rightmove,https://www.rightmove.co.uk/properties/134925800#/?channel=RES_LET,Added,2023-05-17
rent,"Tachbrook Street, London, SW1V 2NE",2,1, ,"£2,600",£600,Property number 47984. 2 Bed Garden flat with own entrance. Generous sized open plan kitchen reception room plus 2 comfortable sized double bedrooms with ample storage.,Flat,SW1V 2NE,"Visum, Nationwide",rightmove,https://www.rightmove.co.uk/properties/134925746#/?channel=RES_LET,Added,2023-05-17
rent,"Nimrod Road, London, SW16",5,2, ,"£4,300",£992,"A stunning 5 bed semi detached house, with an additional study room, located on a quiet residential street in the highly sought after Furzedown Village, which is situated in-between Streatham and Tooting. This property is offered furnished and is best suited for four professional sharers.",End of Terrace,SW16,"Carter Rose Property Group, London",rightmove,https://www.rightmove.co.uk/properties/125104103#/?channel=RES_LET,Added,2023-05-17
rent,"Barrowgate Road, Chiswick, London, W4",1,1, ,"£1,700",£392,"ZERO DEPOSIT AVAILABLE. LONG LET. This attractive one bedroom maisonette offers bright and well presented accommodation, including a lovely reception room with wood floors and an open-plan kitchen with space for dining.",Flat,W4,"Foxtons, Chiswick",rightmove,https://www.rightmove.co.uk/properties/134925740#/?channel=RES_LET,Added,2023-05-17
rent,"Southfield Road, Chiswick, London, W4",2,1, ,"£4,000",£923,"SHORT LET. Presented in excellent condition throughout, this spacious and bright 2 bedroom property is arranged over 2 floors of a period terrace on a residential street.",Terraced,W4,"Foxtons, Chiswick",rightmove,https://www.rightmove.co.uk/properties/134925737#/?channel=RES_LET,Added,2023-05-17
rent,"Vicinity House, Westferry, London, E14",2,1, ,"£2,200",£508,"LONG LET. Offering contemporary living space with a fabulous Canary Wharf facing terrace, this superb 2 bedroome flat is arranged over 2 floors in a desirable gated development.",Flat,E14,"Foxtons, Canary Wharf",rightmove,https://www.rightmove.co.uk/properties/134925734#/?channel=RES_LET,Added,2023-05-17
rent,"Crescent Road, London, E18",1,2, ,"£1,000",£231,"Room in a Shared House, Crescent Road, E18 We are proud to offer this delightful room in a 3 bedroom, 2 bathroom shared house in a great location. Available to move in from 17 May 2023, this pro... ** Property Reference: 1705455 **",House Share,E18,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/134925713#/?channel=RES_LET,Added,2023-05-17
rent,"Thornbury Way, London, E17",1,1, ,"£1,600",£369,"A high spec and handsomely appointed one bedroom apartment on the second floor of a modest contemporary development. All surrounded by the open natural spaces of Upper Walthamstow, and moments fro... ** Property Reference: 1685688 **",Flat,E17,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/134925698#/?channel=RES_LET,Added,2023-05-17
rent,"Robsart Street, Stockwell, London, SW9",1,1, ,"£2,400",£554,"LONG LET. This stylish 1 bedroom flat is set over the 13th floor and benefits from its close proximity to fantastic amenities and parks. Well-proportioned and modern, it presents an open-plan design and a balcony with city view.",Flat,SW9,"Foxtons, Brixton",rightmove,https://www.rightmove.co.uk/properties/134925680#/?channel=RES_LET,Added,2023-05-17
rent,"Benedict Road, Stockwell, London, SW9",1,1, ,"£2,449",£565,"SHORT LET. Set on the 2nd floor, this 1 bedroom flat boasts stylish accommodation including an open-plan reception room, a modern kitchen and a delightful private terrace.",Flat,SW9,"Foxtons, Brixton",rightmove,https://www.rightmove.co.uk/properties/134925674#/?channel=RES_LET,Added,2023-05-17
rent,"Corelli Road, Blackheath, London, SE3",1,1, ,"£1,800",£415,"ZERO DEPOSIT AVAILABLE. LONG LET. This recently refurbished 1 bedroom ground floor flat boasts a large private garden, a fantastic reception room and a stylish finish throughout.",Flat,SE3,"Foxtons, Blackheath",rightmove,https://www.rightmove.co.uk/properties/134925641#/?channel=RES_LET,Added,2023-05-17
rent,"Imperial Wharf, Imperial Wharf, London, SW6",2,2, ,"£2,817",£650,"ZERO DEPOSIT AVAILABLE. LONG LET. Set near the Thames and the Thames Path, this 2 bedroom apartment offers charming living with access to communal gardens and a porter. Its spacious interior is complemented by wooden finishes and a warm tone throughout.",Flat,SW6,"Foxtons, Fulham Broadway",rightmove,https://www.rightmove.co.uk/properties/133497362#/?channel=RES_LET,Reduced,2023-05-17
rent,"Austin Road, Battersea, London, SW11",3,, ,"£2,800",£646,"ZERO DEPOSIT AVAILABLE. LONG LET. A bright and spacious three bedroom flat set within a well maintained residential development with communal gym, swimming pool and squash court. It benefits from bright interiors and ample space.",Flat,SW11,"Foxtons, Battersea",rightmove,https://www.rightmove.co.uk/properties/134925581#/?channel=RES_LET,Added,2023-05-17
rent,"Clapham Common, Clapham Common South Side, London, SW4",3,, ,"£3,200",£738,"ZERO DEPOSIT AVAILABLE. LONG LET. An immaculate and recently refurbished 3 bedroom top floor flat, big reception classical features such as bay windows / fireplaces, modern sleek kitchen and 2 bathrooms.",Flat,SW4,"Foxtons, Balham",rightmove,https://www.rightmove.co.uk/properties/134925497#/?channel=RES_LET,Added,2023-05-17
rent,"Gladsmuir Road, Whitehall Park",1,1, ,"£1,699",£392,"A bright and spacious redecorated one bedroom apartment set on the ground floor of a period conversion with a private garden. The property also has separate dine in kitchen, a cellar for storage and a utility room.",Flat,Whitehall Park,"Dexters, Highgate",rightmove,https://www.rightmove.co.uk/properties/134925485#/?channel=RES_LET,Added,2023-05-17
rent,"Coppermaker Square, Stratford, London, E20",1,1, ,"£2,470",£570,"LONG LET. Contemporary design meets crafted details, this stunning 1 bedroom 4th floor apartment includes generous accommodation, Juliet balcony, under-floor heating and an air-cooling system.",Flat,E20,"Foxtons, London",rightmove,https://www.rightmove.co.uk/properties/134925470#/?channel=RES_LET,Reduced,2023-05-17
rent,"Barcombe Avenue, Streatham, London, SW2",5,2, ,"£3,991",£921,"AVAILABLE IMMEDIATELY - CHECK OUT THE VIRTUAL TOUR!! This stunning five bed property is located on a residential street, just off bustling Streatham Hill. The Victorian façade at the front gives an indication to the character found within. Spread over three floors, this property...",House,SW2,"Atkinson McLeod, Kennington - Lettings",rightmove,https://www.rightmove.co.uk/properties/132977600#/?channel=RES_LET,Added,2023-05-17
rent,"Hillyard Street, Stockwell, London, SW9",2,1, ,"£2,384",£550,"SHORT LET. This wonderful 2 bedroom apartment benefits from a desirable position near local amenities and the lush Myatt's Field Common Park. It showcases a light, open-plan design and a charming balcony with seating space.",Flat,SW9,"Foxtons, Brixton",rightmove,https://www.rightmove.co.uk/properties/134653547#/?channel=RES_LET,Reduced,2023-05-17
rent,"Coldharbour Lane, Brixton, London, SE5",1,, ,"£1,895",£437,"ZERO DEPOSIT AVAILABLE. LONG LET. Presented to a high standard throughout, this charming 1 bedroom ground floor offers a generous open-plan kitchen/reception room, sleek bathroom, well-sized double bedroom and a fantastic garden.",Flat,SE5,"Foxtons, Brixton",rightmove,https://www.rightmove.co.uk/properties/86131041#/?channel=RES_LET,Reduced,2023-05-17
rent,"Cashmere House, Goodman's Fields, London, E1",1,1, ,"£3,467",£800,"Goodman's Fields is a mixed-use urban quarter providing a selection of beautiful apartments as well as independent coffee shops, cafes and restaurants, a hotel, 2 acres of stunning landscaping and unforgettable public art.",Apartment,E1,"LDM Properties, London",rightmove,https://www.rightmove.co.uk/properties/128668595#/?channel=RES_LET,Added,2023-05-17
