transaction,address,bedroom,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,date_added 
rent,"Heartwell Avenue, London, E16",2,2, ,"2,600",600,,2 bedroom apartment to rent,E16,,omt,https://www.onthemarket.com/details/13088823/,today
rent,"Weymouth Mews, Marylebone, W1G",3,2, ,"29,020","6,697",,3 bedroom apartment to rent,W1G,Druce - Marylebone,omt,https://www.onthemarket.com/details/11401224/,> 14 days
rent,"Cityview Point, Poplar, London E14",2,2, ,"2,145",495,,2 bedroom apartment to rent,E14,Chase Evans - Canary Wharf,omt,https://www.onthemarket.com/details/13139893/,Reduced today
rent,"Luna House, 37 Bermondsey Wall West, London, SE16",1,1, ,"1,950",450,,1 bedroom apartment to rent,SE16,,omt,https://www.onthemarket.com/details/12693454/,Reduced today
rent,"High Road, London N20",1,1, ,"1,545",357,,1 bedroom flat to rent,N20,,omt,https://www.onthemarket.com/details/13220790/,today
rent,"Amory Tower, London E14",3,2, ,"5,200","1,200",,3 bedroom flat to rent,E14,,omt,https://www.onthemarket.com/details/13220788/,today
rent,"Rainville Road, London, W6",2,2, ,"4,593","1,060",,2 bedroom apartment to rent,W6,,omt,https://www.onthemarket.com/details/13220786/,today
rent,"134 Trinity Road, London SW17 7HS",2,, ,"2,000",462,,2 bedroom apartment to rent,7HS,,omt,https://www.onthemarket.com/details/13059824/,today
rent,"Dawson House, Battersea Power Station, Vauxhall, SW11",2,2, ,"5,200","1,200",,2 bedroom apartment to rent,SW11,,omt,https://www.onthemarket.com/details/13220774/,today
rent,"Harriot Court, 105 Hainault Road, London, E11",1,1, ,"1,325",306,,1 bedroom flat to rent,E11,,omt,https://www.onthemarket.com/details/11782650/,today
rent,"Finchley Road, Hampstead, NW3",4,2, ,"4,000",923,,4 bedroom flat to rent,NW3,,omt,https://www.onthemarket.com/details/12570997/,today
rent,"Jackson Court, 314 Romford Road, Forest Gate, E7",2,1, ,"1,700",392,,2 bedroom flat to rent,E7,,omt,https://www.onthemarket.com/details/5587686/,today
rent,"Shirland Road, London, W9",2,1, ,"2,100",485,,2 bedroom maisonette to rent,W9,,omt,https://www.onthemarket.com/details/13220747/,today
rent,"Fitzjohns avenue, Hampstead",1,1, ,"3,142",725,,1 bedroom apartment to rent,Hampstead,,omt,https://www.onthemarket.com/details/10324162/,today
rent,"Repton House, 20 Scott Avenue, Putney, London, SW15",1,1, ,"1,750",404,,1 bedroom apartment to rent,SW15,,omt,https://www.onthemarket.com/details/11774772/,today
rent,"Stanhope Grove, Beckenham",4,2, ,"2,995",691,,4 bedroom terraced house to rent,Beckenham,,omt,https://www.onthemarket.com/details/13220745/,today
rent,"Edgeworth Court, EN4",2,1, ,"1,600",369,,2 bedroom flat to rent,EN4,,omt,https://www.onthemarket.com/details/9458067/,today
rent,"Fari Court, Tower Mews, London E17",1,1, ,"1,550",358,,1 bedroom flat to rent,E17,,omt,https://www.onthemarket.com/details/13220743/,today
rent,"Upper Richmond Road, SW14",5,, ,"5,500","1,269",,5 bedroom maisonette to rent,SW14,,omt,https://www.onthemarket.com/details/13220740/,today
rent,"Mentmore Court, HA7 2SR",1,1, ,"1,300",300,,1 bedroom flat to rent,2SR,,omt,https://www.onthemarket.com/details/13220727/,today
rent,"Broughton Avenue, Finchley, N3",2,2, ,"2,950",681,,2 bedroom penthouse to rent,N3,,omt,https://www.onthemarket.com/details/13173299/,Reduced today
rent,"Kensington Church Street, London",2,1, ,"4,498","1,038",,2 bedroom apartment to rent,London,,omt,https://www.onthemarket.com/details/8829984/,today
rent,"Chelsea Cloisters, Sloane Avenue, London",1,1, ,"2,448",565,,1 bedroom apartment to rent,London,,omt,https://www.onthemarket.com/details/7314520/,Reduced today
rent,"Cobbs Hall, Fulham Palace Road, Fulham, SW6",2,1, ,"2,400",554,,2 bedroom apartment to rent,SW6,,omt,https://www.onthemarket.com/details/11320494/,today
rent,"Carlisle Road, Queens Park, London, NW6",3,3, ,"11,917","2,750",,3 bedroom apartment to rent,NW6,Savills - Maida Vale & Little Venice,omt,https://www.onthemarket.com/details/12063959/,> 14 days
rent,"New Globe Walk, London SE1",2,1, ,"4,500","1,038",,2 bedroom serviced apartment to rent,SE1,Livinc - Leeds,omt,https://www.onthemarket.com/details/13078002/,Reduced today
rent,"Allitsen Road, St Johns Wood, NW8",Studio,1, ,"2,145",495,,Studio to rent,NW8,,omt,https://www.onthemarket.com/details/13220711/,today
rent,"Arthouse, 1 York Way, Kings Cross, Islington, London, N1C",1,1, ,"2,600",600,,1 bedroom apartment to rent,N1C,,omt,https://www.onthemarket.com/details/12674845/,today
rent,"Westferry Circus, London, E14",2,2, ,"4,246",980,,2 bedroom apartment to rent,E14,,omt,https://www.onthemarket.com/details/13220702/,today
rent,"Hollywood Road, Chelsea SW10",2,1, ,"2,990",690,,2 bedroom flat to rent,SW10,,omt,https://www.onthemarket.com/details/6952754/,today
rent,"Newick Road, Hackney, London, E5",Studio,1, ,"1,500",346,,Studio to rent,E5,,omt,https://www.onthemarket.com/details/8614000/,today
rent,"Prospect Place, Battersea Power Station, Battersea SW11",Studio,1, ,"2,383",550,,Studio to rent,SW11,,omt,https://www.onthemarket.com/details/13161449/,Reduced today
rent,"Baldwin Point, Elephant Park, Elephant & Castle SE17",2,1, ,"2,708",625,,2 bedroom apartment to rent,SE17,,omt,https://www.onthemarket.com/details/13111503/,Reduced today
rent,"36 Park Street, London, W1K",2,2, ,"12,350","2,850",,2 bedroom flat to rent,W1K,,omt,https://www.onthemarket.com/details/13220679/,today
rent,"Bride Street, Islington, London N7",Studio,1, ,"1,430",330,,Studio to rent,N7,,omt,https://www.onthemarket.com/details/8819613/,Reduced today
rent,"Bride Street, N7",Studio,1, ,"1,430",330,,Studio to rent,N7,,omt,https://www.onthemarket.com/details/13170791/,Reduced today
rent,"Porchester Place, Hyde Park, W2",1,1, ,"2,578",595,,1 bedroom flat to rent,W2,,omt,https://www.onthemarket.com/details/12330558/,Reduced today
rent,"Radley House, 10 Palmer Road, Battersea, London, SW11",1,1, ,"2,799",646,,1 bedroom flat to rent,SW11,,omt,https://www.onthemarket.com/details/13220624/,today
rent,"Lambton Road, London",2,1, ,"2,250",519,,2 bedroom apartment to rent,London,,omt,https://www.onthemarket.com/details/13176718/,Reduced today
rent,"Park Road, Marylebone, London, NW1",2,1, ,"2,990",690,,2 bedroom apartment to rent,NW1,,omt,https://www.onthemarket.com/details/13220621/,today
rent,"Pelling Street Limehouse, E14",2,2, ,"2,097",484,,2 bedroom apartment to rent,E14,,omt,https://www.onthemarket.com/details/13220619/,today
rent,"Maybank Avenue, Hornchurch RM12",2,1, ,"1,250",288,,2 bedroom flat to rent,RM12,,omt,https://www.onthemarket.com/details/13220613/,today
rent,"Vetro Court, Canary Wharf, E14",1,1, ,"2,275",525,,1 bedroom apartment to rent,E14,,omt,https://www.onthemarket.com/details/12507924/,Reduced today
rent,"Young Street, London",1,2, ,"3,792",875,,1 bedroom apartment to rent,London,,omt,https://www.onthemarket.com/details/13220594/,today
rent,Sussex Place Bayswater W2,1,1, ,"2,700",623,,1 bedroom apartment to rent,W2,,omt,https://www.onthemarket.com/details/13220587/,today
rent,Pathfield Road London SW16,3,2, ,"3,300",762,,3 bedroom house to rent,SW16,,omt,https://www.onthemarket.com/details/13220586/,today
rent,"Heather Close, Clapham, SW8",2,1, ,"1,850",427,,2 bedroom flat to rent,SW8,,omt,https://www.onthemarket.com/details/13142246/,Reduced today
rent,"Newfoundland Place, London E14",2,2, ,"4,160",960,,2 bedroom flat to rent,E14,Vertus Residential Management - Lettings,omt,https://www.onthemarket.com/details/12764438/,> 14 days
rent,"Maybank Avenue, Hornchurch RM12",2,1, ,"1,250",288,,2 bedroom flat to rent,RM12,Estateology - Bethnal Green,omt,https://www.onthemarket.com/details/13220613/,today
rent,"Vetro Court, Canary Wharf, E14",1,1, ,"2,275",525,,1 bedroom apartment to rent,E14,,omt,https://www.onthemarket.com/details/12507924/,Reduced today
rent,"Young Street, London",1,2, ,"3,792",875,,1 bedroom apartment to rent,London,,omt,https://www.onthemarket.com/details/13220594/,today
rent,Sussex Place Bayswater W2,1,1, ,"2,700",623,,1 bedroom apartment to rent,W2,,omt,https://www.onthemarket.com/details/13220587/,today
rent,Pathfield Road London SW16,3,2, ,"3,300",762,,3 bedroom house to rent,SW16,,omt,https://www.onthemarket.com/details/13220586/,today
rent,"Heather Close, Clapham, SW8",2,1, ,"1,850",427,,2 bedroom flat to rent,SW8,,omt,https://www.onthemarket.com/details/13142246/,Reduced today
rent,"Ethos Sports Centre, Princes Gardens, Knightsbridge, London, SW7",2,2, ,"4,312",995,,2 bedroom flat to rent,SW7,,omt,https://www.onthemarket.com/details/13220576/,today
rent,Alma Grove London SE1,2,2, ,"2,100",485,,2 bedroom apartment to rent,SE1,,omt,https://www.onthemarket.com/details/13133597/,Reduced today
rent,"Casson Square, London, SE1",2,2, ,"4,767","1,100",,2 bedroom apartment to rent,SE1,,omt,https://www.onthemarket.com/details/12732635/,Reduced today
rent,Glenton Road Lewisham SE13,1,1, ,"1,350",312,,1 bedroom flat to rent,SE13,,omt,https://www.onthemarket.com/details/13166815/,Reduced today
rent,Buckingham Gate Westminster SW1E,1,1, ,"4,225",975,,1 bedroom apartment to rent,SW1E,,omt,https://www.onthemarket.com/details/13220561/,today
rent,"East Ferry Road - Flat 2 (G02) - G/F/F, E14",3,2, ,"3,200",738,,3 bedroom property to rent,E14,,omt,https://www.onthemarket.com/details/13220560/,today
rent,"Craven Hill, London, W2",Studio,1, ,"1,603",370,,Studio to rent,W2,,omt,https://www.onthemarket.com/details/12038879/,Reduced today
rent,"Stratford Road, London, W8",1,1, ,"2,492",575,,1 bedroom flat to rent,W8,,omt,https://www.onthemarket.com/details/5723377/,today
rent,Montrose Court Exhibition Road London SW7,3,3, ,"13,000","3,000",,3 bedroom apartment to rent,SW7,,omt,https://www.onthemarket.com/details/13125852/,Reduced today
rent,Montrose Court Exhibition Road London SW7,3,3, ,"12,133","2,800",,3 bedroom penthouse to rent,SW7,,omt,https://www.onthemarket.com/details/13095132/,Reduced today
rent,"Charlton Court, Broughton Avenue, Finchley Church End, N3",2,2, ,"2,951",681,,2 bedroom flat to rent,N3,,omt,https://www.onthemarket.com/details/13167252/,Reduced today
rent,"Meranti Apartments, Deptford Landings, Deptford SE8",2,2, ,"2,210",510,,2 bedroom apartment to rent,SE8,,omt,https://www.onthemarket.com/details/13220533/,today
rent,"Gunnersbury Avenue, London, W5",1,1, ,"1,500",346,,1 bedroom apartment to rent,W5,,omt,https://www.onthemarket.com/details/13220526/,today
rent,"Cleland House, 32 John Islip Street, SW1P",2,2, ,"5,633","1,300",,2 bedroom apartment to rent,SW1P,,omt,https://www.onthemarket.com/details/5039466/,today
rent,"Wilkinson Close, London, NW2",2,2, ,"2,470",570,,2 bedroom apartment to rent,NW2,,omt,https://www.onthemarket.com/details/13220518/,today
rent,"Highbury Park, Highbury, London, N5",1,1, ,"1,700",392,,1 bedroom apartment to rent,N5,,omt,https://www.onthemarket.com/details/13180570/,Reduced today
rent,"Chalklands, Wembley HA9",1,1, ,750,173,,1 bedroom flat to rent,HA9,Home World Management - London,omt,https://www.onthemarket.com/details/13215915/,yesterday
rent,Draycott Place Chelsea London SW3,2,1, ,"2,817",650,,2 bedroom apartment to rent,SW3,JLL - Chelsea,omt,https://www.onthemarket.com/details/13220507/,today
rent,"Mary Rose Square, Surrey Quays SE16",4,4, ,"3,900",900,,4 bedroom apartment to rent,SE16,,omt,https://www.onthemarket.com/details/13220506/,today
rent,"Tilbury Road, East ham",3,2, ,"2,200",508,,3 bedroom end of terrace house to rent,ham,,omt,https://www.onthemarket.com/details/13220494/,today
rent,"Church Road, Manor Park",2,1, ,"1,500",346,,2 bedroom apartment to rent,Park,,omt,https://www.onthemarket.com/details/13220493/,today
rent,"Marian Lodge, 5 The Downs, Wimbledon, SW20",2,2, ,"2,450",565,,2 bedroom flat to rent,SW20,,omt,https://www.onthemarket.com/details/925882/,today
rent,"South Lodge, 245 Knightsbridge, Knightsbridge, London, SW7",3,2, ,"6,500","1,500",,3 bedroom apartment to rent,SW7,,omt,https://www.onthemarket.com/details/5201474/,today
rent,"Tyler Street, London, SE10",2,1, ,"1,975",456,,2 bedroom end of terrace house to rent,SE10,,omt,https://www.onthemarket.com/details/12974379/,Reduced today
rent,"Nihill Place, East Croydon",2,2, ,"1,650",381,,2 bedroom flat to rent,Croydon,,omt,https://www.onthemarket.com/details/12136736/,Reduced today
rent,"Denmark Avenue, Wimbledon, SW19",2,2, ,"2,500",577,,2 bedroom flat to rent,SW19,,omt,https://www.onthemarket.com/details/9995868/,today
rent,"Philpot Street, Whitechapel E1",Studio,1, ,"1,300",300,,Studio to rent,E1,,omt,https://www.onthemarket.com/details/13220457/,today
rent,"Flat 35 Amisha Court , 161 Grange Road, London",2,1, ,"2,015",465,,2 bedroom flat to rent,London,,omt,https://www.onthemarket.com/details/13220452/,today
rent,"Cadogan Square, Knightsbridge, London, SW1X",3,3, ,"18,417","4,250",,3 bedroom apartment to rent,SW1X,,omt,https://www.onthemarket.com/details/1758520/,today
rent,"Tudor Gardens, London, SW13",3,2, ,"4,350","1,004",,3 bedroom terraced house to rent,SW13,,omt,https://www.onthemarket.com/details/13220443/,today
rent,New Oxford Street St Giles WC1A,1,1, ,"5,417","1,250",,1 bedroom apartment to rent,WC1A,,omt,https://www.onthemarket.com/details/13220432/,today
rent,"101 Cheviot House, Philpot Street, Whitechapel E1",Studio,1, ,"1,400",323,,Studio to rent,E1,,omt,https://www.onthemarket.com/details/13220428/,today
rent,Ferry Lane London N17,2,2, ,"2,350",542,,2 bedroom apartment to rent,N17,,omt,https://www.onthemarket.com/details/13220422/,today
rent,Highgate Hill,1,1, ,"2,195",507,,1 bedroom flat to rent,Hill,,omt,https://www.onthemarket.com/details/12677576/,today
rent,Highgate Hill,Studio,1, ,"1,795",414,,Studio to rent,Hill,,omt,https://www.onthemarket.com/details/13151348/,today
rent,"Perilla House, Stable Walk, Aldgate, London, E1",2,2, ,"3,900",900,,2 bedroom flat to rent,E1,,omt,https://www.onthemarket.com/details/13220399/,today
rent,"Lodge Lane, Collier Row, RM5",1,1, ,"1,150",265,,1 bedroom flat to rent,RM5,,omt,https://www.onthemarket.com/details/13220391/,today
rent,Lawrence Road,Studio,1, ,"1,425",329,,Studio to rent,Road,,omt,https://www.onthemarket.com/details/12982702/,today
rent,"Avenue Road, London, NW8",3,2, ,"6,283","1,450",,3 bedroom apartment to rent,NW8,,omt,https://www.onthemarket.com/details/13220386/,today
rent,"Rattray Road, SW2",1,1, ,"1,473",340,,1 bedroom flat to rent,SW2,Keating Estates - Brixton,omt,https://www.onthemarket.com/details/13184420/,< 14 days
rent,Hackney Road,3,2, ,"4,800","1,108",,3 bedroom flat to rent,Road,Scraye - London,omt,https://www.onthemarket.com/details/12947282/,today
rent,Hackney Road,1,1, ,"2,900",669,,1 bedroom flat to rent,Road,,omt,https://www.onthemarket.com/details/12947276/,today
rent,"Broughton Avenue, Finchley N3",2,2, ,"2,950",681,,2 bedroom apartment to rent,N3,,omt,https://www.onthemarket.com/details/13171900/,Reduced today
rent,"CHARLTON COURT, BROUGHTON AVENUE, LONDON, N3",2,2, ,"2,950",681,,2 bedroom apartment to rent,N3,,omt,https://www.onthemarket.com/details/13177992/,Reduced today
rent,"Penzance Place, Holland Park, W11",2,1, ,"4,000",923,,2 bedroom maisonette to rent,W11,,omt,https://www.onthemarket.com/details/13220368/,today
rent,Draycott Avenue,Studio,1, ,"1,550",358,,Studio to rent,Avenue,,omt,https://www.onthemarket.com/details/12993193/,today
rent,"Hornsey Road, London, N19",3,2, ,"3,033",700,,3 bedroom maisonette to rent,N19,,omt,https://www.onthemarket.com/details/13108328/,Reduced today
rent,"Courtfield Gardens, London, SW5",3,2, ,"4,983","1,150",,3 bedroom apartment to rent,SW5,,omt,https://www.onthemarket.com/details/10855665/,today
rent,"Ashlar Court, Ravenscourt Gardens, W6",1,1, ,"1,950",450,,1 bedroom apartment to rent,W6,,omt,https://www.onthemarket.com/details/8783841/,today
rent,London SE1,2,2, ,"3,683",850,,2 bedroom apartment to rent,SE1,,omt,https://www.onthemarket.com/details/13220357/,today
rent,"Shipbuilding Way, Canary Wharf E13",1,1, ,"1,650",381,,1 bedroom apartment to rent,E13,,omt,https://www.onthemarket.com/details/13220349/,today
rent,"Allerford Court, North Harrow, Harrow",3,2, ,"2,100",485,,3 bedroom end of terrace house to rent,Harrow,,omt,https://www.onthemarket.com/details/13220330/,today
rent,Clanricarde Gardens,Studio,1, ,"1,700",392,,Studio to rent,Gardens,,omt,https://www.onthemarket.com/details/13039747/,today
rent,Clanricarde Gardens,Studio,1, ,"1,695",391,,Studio to rent,Gardens,,omt,https://www.onthemarket.com/details/12510797/,today
