transaction,address,bedroom,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,date_type,listed_date
rent,"Churchway, Euston, London",,1, ,"1,500",346,"Excellent studio to rent within a short distance to UCL & Euston station offering access towards the West End, City & National Rail across the UK. The well maintained and self contained studio to rent comprises of a fitted kitchen, shower room & excellent storage throughout. In additi...",Studio,London,"David Astburys, London",rightmove,https://www.rightmove.co.uk/properties/130372250#/?channel=RES_LET,Reduced,2023-05-19
rent,"Anselm Road, London",3,3, ,"5,417","1,250","A modern, very well presented, three bedroom three bathroom house with great transport links",End of Terrace,London,"Strutt & Parker - Lettings, Fulham",rightmove,https://www.rightmove.co.uk/properties/135024803#/?channel=RES_LET,Added,2023-05-19
rent,Fellows Road Belsize Park NW3,,1, ,"1,550",358,A bright spacious studio flat to rent with separate kitchen in this modern purpose built block situated on this highly sought after Belsize Park street close to Primrose Hill.,Apartment,NW3,"Kinleigh Folkard & Hayward - Lettings, Belsize Park",rightmove,https://www.rightmove.co.uk/properties/135024770#/?channel=RES_LET,Added,2023-05-19
rent,"Old Paint Factory Apartments, 1 Mapleton Crescent, London, SW18",,1, ,"1,517",350,Spacious studio apartment located in the heart of Wandsworth close to Southside Shopping Center. The property is furnished and benefits from a private balcony.,Apartment,SW18,"Savills Lettings, Wandsworth",rightmove,https://www.rightmove.co.uk/properties/135024683#/?channel=RES_LET,Added,2023-05-19
rent,"Woolwich, SE18",,1, ,950,219,"**AVAILABLE NOW WITH SOME BILLS INCLUDED** - BREATH TAKING AND SPACIOUS STUDIO APARTMENT ON THE BORDER OF WOOLWICH AND CHARLTON WITH ACCESS TO GYM . THE FIRST TO VIEW THIS PROPERTY WILL SNAP IT UP, AS WATER AND WIFI ARE INCLUDED IN THE RENT. CALL TO VIEW TODAY!!!",Studio,SE18,"Mann Lettings, Woolwich",rightmove,https://www.rightmove.co.uk/properties/135024656#/?channel=RES_LET,Added,2023-05-19
rent,"Meranti House, Alie Street, London, E1",1,1, ,"3,033",700,"Lovely 1 bedroom apartment to rent in Meranti House, Goodman's Fields E1 Available 11th September. A stylish one bedroom apartment with a large balconies to rent in Meranti House, part of the iconic Goodmans Fields development. The flat has 1 double bedrooms, 1 luxurious bathrooms, a light and ...",Flat,E1,"Knight Frank - Lettings, Aldgate",rightmove,https://www.rightmove.co.uk/properties/135024644#/?channel=RES_LET,Added,2023-05-19
rent,"Starling House, St. Johns Wood, NW8",3,1, ,"3,750",865,"***SHORT TERM*** Available now is this 3 bedroom, split level property offered furnished basis in prime location. Call now to book your viewing. *NOT SUITABLE FOR SHARERS*",Apartment,NW8,"Chancellors, St John's Wood Lettings",rightmove,https://www.rightmove.co.uk/properties/135024626#/?channel=RES_LET,Added,2023-05-19
sales,"Angel Lane, Stratford, London, E15",2,2,"450,000",,,"A superb two double bedroom ninth floor apartment set with the prestigious Stratford Eye development boasting far reaching views of the London sky line. Presented beautifully throughout the property consists of two double bedrooms (primary with en-suite bathroom), a further bathroom and an excell...",Flat,E15,"Keatons, Stratford",rightmove,https://www.rightmove.co.uk/properties/86126382#/?channel=RES_BUY,Added,16/05/2023
sales,"One Hyde Park, Knightsbridge",5,5,"60,000,000",,,"An exceptional exclusive five bedroom apartment for sale in this much sought after development in Knightsbridge. The entire floor is approximately 9,000 sq. ft. and designed to the highest specifications with stunning views over Knightsbridge and Hyde park.",Apartment,Knightsbridge,"The Cloister, London",rightmove,https://www.rightmove.co.uk/properties/130177625#/?channel=RES_BUY,Added,22/12/2022
sales,"Mayfair Freehold House, Park Lane Area, W1K",1,1,"45,000,000",,,"This stunning 12 bedroom (including 3 staff bedrooms), 18 bathrooms Mayfair mansion. The mansion includes 5 large living rooms, 2 kitchens, 2 kitchenettes, library, gym, garden/terrace, 4 dressing rooms and a lovely roof terrace all spread across 6 floors. The approximate size of the property is ...",House,W1K,"Luxury Living Homes International, London",rightmove,https://www.rightmove.co.uk/properties/130306529#/?channel=RES_BUY,Added,31/12/2022
sales,"Lygon Place, Belgravia, SW1W",7,9,"45,000,000",,,"Ref. LOB0798 - Set behind a gated Belgravia driveway, Lygon Place is a magnificent Grade II listed 13,935 sq.ft mansion, with connecting mews house, was designed by David Collins Studio. With bespoke interiors, the seven bedroom mansion is the largest house on Lygon Place, and comprises four g...",House,SW1W,"Beauchamp Estates Ltd, Mayfair - Resale",rightmove,https://www.rightmove.co.uk/properties/129302918#/?channel=RES_BUY,Added,21/11/2022
sales,"Pitt Street, Kensington, W8",6,5,"44,000,000",,,Ref. LOB0625 - This striking and unique house was designed and constructed by Spink Partners as a private commission for the current owner and is contemporary in style and over 60ft wide. This was one of Spink's flagship schemes within Central London and the resulting family home is flo...,House,W8,"Beauchamp Estates Ltd, Mayfair - Resale",rightmove,https://www.rightmove.co.uk/properties/131856722#/?channel=RES_BUY,Added,21/02/2023
sales,"Pitt Street, London, W8",7,5,"44,000,000",,,"A rare opportunity to own this unique, contemporary mansion in Kensington.",Detached,W8,"Savills, Kensington",rightmove,https://www.rightmove.co.uk/properties/131846453#/?channel=RES_BUY,Added,20/02/2023
sales,"Belgravia Gate, Grosvenor Crescent, Belgravia, London, SW1X",6,7,"43,700,000",,,"Belgravia Gate benefits from a truly world-class location and is one of the most desirable addresses in Europe. A 2nd-floor lateral apartment providing grand entertaining space and 6-bedrooms. Located on the second floor of Belgravia Gate on Grosvenor Crescent the apartment forms part of five, G...",Not Specified,SW1X,"Knight Frank - New Homes, Prime Central London Developments",rightmove,https://www.rightmove.co.uk/properties/134329280#/?channel=RES_BUY,Added,02/05/2023
sales,"South Street, London",5,6,"35,000,000",,,"An elegant stone-dressed, red-brick, five-storey grade II listed mansion house. Double-fronted Edwardian facade with arts & crafts style detailing and french-inspired fine iron railings. Home to politicians and celebrities.",Terraced,London,"Wetherell, Mayfair",rightmove,https://www.rightmove.co.uk/properties/128150369#/?channel=RES_BUY,Added,18/10/2022
sales,"Piccadilly, Mayfair, London, W1J",,,"35,000,000",,,"A rare opportunity to regenerate an impressive period building with development potential and residential planning permission in place. 139 Piccadilly is a Grade II listed building arranged over six floors, dating back to the mid-18th century. This grand, former townhouse offers over 14,000 sq f...",Terraced,W1J,"Knight Frank, Mayfair",rightmove,https://www.rightmove.co.uk/properties/134089559#/?channel=RES_BUY,Added,25/04/2023
sales,"Royal Westminster, London",7,5,"35,000,000",,,"A very rare find this luxurious circa 11000 SQF house in the heart of Westminster. Features 7 bedroom suites 5 reception rooms Gym Lift Swimming pool, jacuzzi Terrace with stunning views of Houses of Parliament For more information get in touch.",Detached,London,"Luxury Living Homes International, London",rightmove,https://www.rightmove.co.uk/properties/134449994#/?channel=RES_BUY,Added,04/05/2023
sales,"South Street, Mayfair W1K",6,6,"35,000,000",,,"Considered to be the archetypical London mansion, this exceptional Mayfair mansion sits in the heart of central London. In excess of 8,300 sq ft, the sensitive modernisation of the six-bedroom townhouse included the creation of a wellness suite on the lower ground floor, complete with swimming pool.",House,W1K,"Rokstone, London",rightmove,https://www.rightmove.co.uk/properties/132423944#/?channel=RES_BUY,Added,09/03/2023
sales,"Brick Street, Mayfair, London, W1J",7,5,"35,000,000",,,A majestic and luxurious Grade II listed building in the heart of Mayfair.,Terraced,W1J,"Savills, Mayfair",rightmove,https://www.rightmove.co.uk/properties/131927141#/?channel=RES_BUY,Added,22/02/2023
sales,"Brick Street, Mayfair W1J",7,7,"35,000,000",,,"A truly exeptional low- built 7 bedroom mansion, with private gated drive-in courtyard tucked away in the heart of Mayfair. Offering over 12,960 sq ft of unique lateral luxury living.",House,W1J,"Rokstone, London",rightmove,https://www.rightmove.co.uk/properties/131929205#/?channel=RES_BUY,Added,22/02/2023
sales,"Brick Street, Mayfair, London, W1J",7,7,"35,000,000",,,"Luxurious Grade II listed house with private gated drive-in courtyard, underground parking, swimming pool and separate staff accommodation, for sale in the heart of Mayfair, W1J In the heart of exclusive Mayfair, this majestic and luxurious Grade II listed property provides unique lateral living...",Detached,W1J,"Knight Frank, Mayfair",rightmove,https://www.rightmove.co.uk/properties/127390289#/?channel=RES_BUY,Added,24/09/2022
sales,"Merton Lane, London, N6",6,7,"32,000,000",,,"United Kingdom Sotheby’s International Realty are pleased to present this exceptional six bedroom contemporary mansion in Highgate. Located on a sought-after road in the heart of Highgate and occupying a two-acre site, the bespoke family home with accommodation predominantly arra...",Detached,N6,"'s International Realty, London",rightmove,https://www.rightmove.co.uk/properties/83624538#/?channel=RES_BUY,Reduced,21/02/2023
sales,"Princes Gate, Kensington, London, SW7",7,5,"30,000,000",,,"An elegant fronted house providing over 9,000 sq.ft. of stylish and luxurious rooms. This property is in immaculate and pristine condition, offering spacious rooms over its seven floors, with the benefit of a lift serving all the main floors. Currently, the lower ground floor consists of a recept...",House,SW7,"Parkes Estate Agents, Kensington",rightmove,https://www.rightmove.co.uk/properties/134155481#/?channel=RES_BUY,Added,17/10/2022
sales,"One Hyde Park, Knightsbridge",3,3,"30,000,000",,,"The Cloister are pleased to present this stunning three bedroom apartment located in Knightsbridge, One Hyde Park, a prestigious and much sought-after location.",Apartment,Knightsbridge,"The Cloister, London",rightmove,https://www.rightmove.co.uk/properties/134381060#/?channel=RES_BUY,Added,22/12/2022
sales,"Princes Gate, Knightsbridge, SW7",7,5,"30,000,000",,,7 Bedroom house in one of Knightsbridge's most exclusive streets,House,SW7,"Nest Seekers International, London",rightmove,https://www.rightmove.co.uk/properties/130713020#/?channel=RES_BUY,Added,13/01/2023
sales,"Hanover Terrace, Regents Park, London, NW1",6,8,"29,000,000",,,"United Kingdom Sotheby’s International Realty are pleased to present this six bedroom home situated in Regents Park, London, An Ambassadorial Grade l Listed family home with spectacular views facing onto the swan and boating lake within Regents Park, this property was designed by...",End of Terrace,NW1,"'s International Realty, London",rightmove,https://www.rightmove.co.uk/properties/119281460#/?channel=RES_BUY,Added,28/01/2022
sales,"Chapel Street, Belgravia SW1X",6,5,"28,000,000",,,"A magnificent, exceptionally well presented six bedroom freehold town house situated in the heart of Belgravia, moments away from Knightsbridge.",Town House,SW1X,"Rokstone, London",rightmove,https://www.rightmove.co.uk/properties/126734519#/?channel=RES_BUY,Added,25/10/2019
sales,"Curzon Street, London, W1J",1,1,"27,800,000",,,Incredible investment opportunity to acquire four state of the art apartments in the heart of Mayfair,Block of Apartments,W1J,"DDRE.global, London",rightmove,https://www.rightmove.co.uk/properties/131770103#/?channel=RES_BUY,Added,17/02/2023
sales,"Marylebone High Street, London, W1U",3,3,"27,000,000",,,The most eagerly awaited residential development to be formed in Marylebone over recent decades. Nestled in the absolute epicentre of Marylebone Village only a stone's throw from the much-lauded and admired Marylebone High Street Quarter.,Penthouse,W1U,"Luxury Living Homes International, London",rightmove,https://www.rightmove.co.uk/properties/132097715#/?channel=RES_BUY,Added,28/02/2023
sales,Chester Square,6,6,"26,950,000",,,"A freehold home that gives you everything you could want from a Belgravia sanctuary. That means a high-specification build and finishes, contemporary spaces with architectural flourishes, family-friendly living, and your own attached mews house.",Terraced,Square,"London House, London",rightmove,https://www.rightmove.co.uk/properties/128360102#/?channel=RES_BUY,Reduced,20/06/2022
sales,"Culross Street, London, W1K",6,6,"26,950,000",,,"Offering six bedrooms, six bathrooms, three reception rooms, gym, swimming pool, club room, bar area, wine and cigar room, staff quarters, and a lift to access all six floors and the entire floor plate totalling 8,060 sq ft.",Terraced,W1K,"Hamptons Sales, Knightsbridge",rightmove,https://www.rightmove.co.uk/properties/131706758#/?channel=RES_BUY,Added,14/02/2023
sales,"Culross House, London, W1K",6,6,"26,950,000",,,"Bespoke Mayfair home in enviable location inspired by the finest British design, architecture, and finishes",Terraced,W1K,"DDRE.global, London",rightmove,https://www.rightmove.co.uk/properties/131659967#/?channel=RES_BUY,Added,13/02/2023
